ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated,Year,Month,Hour,inter_arrival_minutes
84868476,Parking Meters,150.0,2024-01-01 09:28:00,2021-08-12 11:58:00,5.5,20001757,,,CARD,Non-Core,5/4/2023 21:35,2021,August,9,0.0
84868472,Parking Meters,360.0,2024-01-01 09:28:00,2021-08-12 15:06:00,8.5,71002019,,,CARD,Toomey,5/4/2023 21:35,2021,August,9,0.0
84920312,Parking Meters,120.0,2024-01-01 09:28:00,2021-08-16 11:28:00,4.25,28002808,,,CARD,Austin High,5/4/2023 21:36,2021,August,9,0.0
84740119,Parking Meters,150.0,2024-01-01 09:29:00,2021-08-02 11:59:00,5.5,20001434,,,CARD,Non-Core,6/9/2023 21:20,2021,August,9,1.0
84777567,Parking Meters,298.76666,2024-01-01 09:31:00,2021-08-05 14:30:00,10.0,91001903,,,CARD,MACC Lot,5/4/2023 21:34,2021,August,9,2.0
84751405,Parking Meters,120.0,2024-01-01 09:32:00,2021-08-03 11:32:00,4.0,91001903,,,CARD,MACC Lot,5/4/2023 21:34,2021,August,9,1.0
84882496,Parking Meters,90.0,2024-01-01 09:32:00,2021-08-13 11:02:00,3.25,61001630,,,CARD,Rainey,5/4/2023 21:35,2021,August,9,0.0
84777591,Parking Meters,60.0,2024-01-01 09:32:00,2021-08-05 10:32:00,2.25,20001412,,,CARD,Non-Core,5/4/2023 21:34,2021,August,9,0.0
84777604,Parking Meters,135.0,2024-01-01 09:33:00,2021-08-05 11:48:00,4.75,20001435,,,CARD,Non-Core,5/4/2023 21:34,2021,August,9,1.0
84777597,Parking Meters,120.0,2024-01-01 09:33:00,2021-08-05 11:33:00,4.25,20001401,,,CARD,Non-Core,5/4/2023 21:34,2021,August,9,0.0
84751404,Parking Meters,36.0,2024-01-01 09:33:00,2021-08-03 10:09:00,1.2,19001905,,,COINS,MoPac Lot,5/4/2023 21:34,2021,August,9,0.0
