Scenario,Car_ID,Arrival_Time,Queue_Time,Search_Time,Parking_Duration,Jenis
MANUAL,Car_1896,3504.0,0.0,11.595233957539069,75.0,Manual
MANUAL,Car_1890,3494.0,0.0,6.783293280542197,90.0,Manual
MANUAL,Car_1906,3510.0,0.0,6.114149811525967,75.0,Manual
MANUAL,Car_1875,3479.0,0.0,8.52166498957974,105.0,Manual
MANUAL,Car_1922,3542.0,0.0,9.587672707926345,42.0,Manual
MANUAL,Car_1866,3467.0,0.0,8.701661095476869,120.0,Manual
MANUAL,Car_1893,3498.0,0.0,8.818258127172145,90.0,Manual
MANUAL,Car_1919,3532.0,0.0,5.719568112990515,60.0,Manual
MANUAL,Car_1475,3040.0,0.0,7.555905298486803,555.0,Manual
MANUAL,Car_1451,3019.0,0.0,4.250844610666144,580.5,Manual
MANUAL,Car_1946,3577.0,0.0,5.137561549331587,22.483334,Manual
MANUAL,Car_1835,3415.0,16.021098051101944,8.807236110781135,165.0,Manual
MANUAL,Car_1921,3540.0,0.0,5.160778422775239,59.85,Manual
MANUAL,Car_1940,3568.0,0.0,5.560068018289617,31.483334,Manual
MANUAL,Car_1874,3478.0,0.0,7.200316544205934,120.0,Manual
MANUAL,Car_1909,3512.0,0.0,6.562577286720974,87.316666,Manual
MANUAL,Car_1888,3492.0,0.0,8.883863429453823,105.0,Manual
MANUAL,Car_1926,3544.0,0.0,6.0599569918744125,55.85,Manual
MANUAL,Car_1894,3500.0,0.0,6.640206467879526,99.61667,Manual
MANUAL,Car_1876,3479.0,0.0,8.157474184654099,120.11667,Manual
MANUAL,Car_1914,3518.0,0.0,7.789096470132234,81.53333,Manual
MANUAL,Car_1873,3478.0,0.0,9.497664631153345,120.0,Manual
MANUAL,Car_1869,3470.0,0.0,7.958896554538239,129.76666,Manual
MANUAL,Car_1551,3167.0,0.0,8.130081582268302,432.6,Manual
MANUAL,Car_1900,3509.0,0.0,8.587972837814002,90.166664,Manual
MANUAL,Car_1923,3543.0,0.0,5.063647844041507,60.0,Manual
MANUAL,Car_1897,3506.0,0.0,9.136469037559126,93.833336,Manual
MANUAL,Car_1495,3080.0,0.0,4.004300356606594,525.0,Manual
MANUAL,Car_1917,3530.0,0.0,9.804422846093486,69.833336,Manual
MANUAL,Car_1689,3293.0,2.3796575160877182,14.283936078774563,300.0,Manual
MANUAL,Car_1941,3571.0,0.0,9.73161379801897,28.95,Manual
MANUAL,Car_1944,3573.0,0.0,10.05352981327107,26.916666,Manual
MANUAL,Car_1851,3440.0,7.8275016449752,12.172696110088989,150.0,Manual
MANUAL,Car_1933,3564.0,0.0,10.924555714131426,35.25,Manual
MANUAL,Car_1958,3594.0,0.0,10.772244368997464,5.516667,Manual
MANUAL,Car_1943,3573.0,0.0,10.95861526452148,26.45,Manual
MANUAL,Car_1885,3487.0,0.0,11.260433370660936,112.2,Manual
MANUAL,Car_1903,3510.0,0.0,11.03109199916589,89.45,Manual
MANUAL,Car_1935,3565.0,0.0,11.017494928459096,34.866665,Manual
MANUAL,Car_1931,3563.0,0.0,11.598966864271484,36.3,Manual
MANUAL,Car_1868,3468.0,0.0,14.856358769830207,131.6,Manual
MANUAL,Car_1857,3450.0,2.384327519352155,13.159397244373121,150.0,Manual
MANUAL,Car_1653,3253.0,5.307228292026139,11.673893662772631,346.75,Manual
MANUAL,Car_1694,3295.0,3.0272874343177136,14.147261945572584,304.65,Manual
MANUAL,Car_1765,3361.0,10.766517823363301,9.009995179885427,238.4,Manual
MANUAL,Car_1761,3356.0,12.965243084437589,8.125652503572438,243.86667,Manual
MANUAL,Car_1845,3428.0,12.063739799959421,10.035202897086089,171.36667,Manual
MANUAL,Car_1850,3438.0,7.136948422340083,15.591465918584039,161.6,Manual
MANUAL,Car_1899,3508.0,0.0,9.85599527907391,105.0,Manual
MANUAL,Car_1928,3553.0,0.0,10.63842322966138,60.0,Manual
MANUAL,Car_1830,3412.0,16.29776171868798,8.378842804184387,187.2,Manual
MANUAL,Car_1815,3403.0,15.244865751315501,12.231379924964457,196.73334,Manual
MANUAL,Car_1892,3496.0,0.0,13.245604757287225,120.0,Manual
MANUAL,Car_1932,3564.0,0.0,9.16311410402638,60.0,Manual
MANUAL,Car_1956,3589.0,0.0,11.029395916395007,34.5,Manual
MANUAL,Car_1681,3290.0,0.4338866984780907,14.405758066694508,330.0,Manual
MANUAL,Car_1901,3509.0,0.0,7.589839378600693,120.0,Manual
MANUAL,Car_1904,3510.0,0.0,7.085372148936389,120.0,Manual
MANUAL,Car_1938,3567.0,0.0,11.90452027681662,60.0,Manual
MANUAL,Car_1939,3568.0,0.0,10.776027739792783,69.0,Manual
MANUAL,Car_1951,3580.0,0.0,9.64987885099761,60.0,Manual
MANUAL,Car_1852,3440.0,7.917689022270679,9.351098530835296,195.0,Manual
MANUAL,Car_1856,3449.0,3.2993479874844525,10.452285081114567,195.0,Manual
MANUAL,Car_1948,3578.0,0.0,10.955959509710745,75.0,Manual
MANUAL,Car_1959,3594.0,0.0,11.046809003190818,60.0,Manual
MANUAL,Car_1886,3487.0,0.0,14.913346145459176,165.0,Manual
MANUAL,Car_1920,3535.0,0.0,6.054220543010993,135.0,Manual
MANUAL,Car_1880,3483.0,0.0,15.160637669096149,180.0,Manual
MANUAL,Car_1863,3462.0,0.0,6.7593445125458524,210.0,Manual
MANUAL,Car_1950,3579.0,0.0,11.145736087054308,90.0,Manual
MANUAL,Car_1966,3611.0,0.0,9.327307357842164,60.0,Manual
MANUAL,Car_1969,3615.0,0.0,7.4950163970272,60.0,Manual
